"","n","mu_pop","method","powerSS11","powerSS12","powerSSR11","powerSSR12","powerNS11","powerNS12","costSS11","costSS12","costSSR11","costSSR12","costNS11","costNS12","costSS11_Q025","costSS12_Q025","costSSR11_Q025","costSSR12_Q025","costNS11_Q025","costNS12_Q025","costSS11_Q975","costSS12_Q975","costSSR11_Q975","costSSR12_Q975","costNS11_Q975","costNS12_Q975","missSS11","missSS12","missSSR11","missSSR12","missNS11","missNS12"
"981",910,49.7,"FP",0,0,0.577,0.613,0.69,0.718,4800.74,8091.9,5114.88,5394.44,8028.2,10459.6,4620.4835,7871.1,4889.367,5283.101,8028.2,10459.6,4850.46,8177.7,5214.32,5651.76,8028.2,10459.6,0,0,0,0,0,0
"982",910,124.7,"KK",0.512,0.798,0.911,0.921,0.915,0.922,4955.2,7107.16,6255,7023.8,5690.8,6763.2,4904.76,7060.36,6154.12,6919.28,5690.8,6763.2,5003.7,7284.8,6352,7124.3,5690.8,6763.2,0,0,0,0,0,0
"983",910,124.7,"MF",0.583,0.813,0.827,0.864,0.831,0.846,6249.32,9466.68,7770.84,9111.92,6890.6,8433.2,6194.148,9417.88,7664.656,8868.44,6890.6,8433.2,6296.12,9643.16,7864.44,9215.88,6890.6,8433.2,0,0,0,0,0,0
"984",910,124.7,"FP",0,0,0.685,0.716,0.773,0.805,5195.64,9130.2,5769.68,6438.84,8028.2,10459.6,5134.5635,8899.5,5647.527,6285.206,8028.2,10459.6,5391.66,9229.2,6026.72,6723.96,8028.2,10459.6,0,0,0,0,0,0
"985",920,2.8,"KK",0,0,0.547,0.586,0.694,0.738,3174.4,4537.24,3349,3496.6,5594.6,6668.4,3143.36,4491.48,3286.92,3432.28,5594.6,6668.4,3207.38,4578.944,3414.96,3564.94,5594.6,6668.4,0,0,0,0,0,0
"986",920,2.8,"MF",0,0,0.602,0.636,0.738,0.764,4013.88,6283.48,4359.16,4688.92,6662.2,8208.4,3970.2,6085.04,4271.8,4459,6662.2,8208.4,4196.772,6352.735,4589.944,4792.993,6662.2,8208.4,0,0,0,0,0,0
"987",920,2.8,"FP",0,0,0.033,0.013,0.572,0.59,4264.06,6618.6,4158.44,4170.92,8208.4,10515.2,4250.5,6592.2,4126.8,4132,8208.4,10515.2,4279.88,6648.3825,4311.52,4328.16,8208.4,10515.2,0,0,0.755,0.755,0,0
"988",920,12.9499,"KK",0,0,0.714,0.744,0.799,0.833,3811.06,5588.92,4352.32,4661.38,5594.6,6668.4,3625.5715,5391.52,4116.343,4421.7595,5594.6,6668.4,3863.44,5647.16,4457.08,4769.92,5594.6,6668.4,0,0,0,0,0,0
"989",920,12.9499,"MF",0.001,0.062,0.75,0.769,0.81,0.821,4897.28,7614.84,5720.96,6403.52,6662.2,8208.4,4839.04,7541.64,5604.48,6141.96,6662.2,8208.4,4961.76,7825.48,5849.92,6543.64,6662.2,8208.4,0,0,0,0,0,0
"990",920,12.9499,"FP",0,0,0.519,0.542,0.599,0.659,4345.42,7103.1,4451.64,4635.52,8208.4,10515.2,4318.2435,6912,4392.767,4428.101,8208.4,10515.2,4374.8,7159.2,4510.4,4707.8,8208.4,10515.2,0,0,0.009,0.009,0,0
